        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603051200,   2.748,   3.319,   0.200,   0.371,   3.319,   0.200,   3.319,   0.300,   3.419
202603051206,   2.885,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051212,   3.021,   3.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051218,   3.155,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051224,   3.288,   3.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051230,   3.417,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051236,   3.545,   4.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051242,   3.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051248,   3.789,   4.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051254,   3.906,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051300,   4.019,   4.569,   0.200,   0.350,   4.569,   0.200,   4.569,   0.300,   4.669
202603051306,   4.127,   4.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051312,   4.231,   4.788,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051318,   4.330,   4.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051324,   4.423,   4.969,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051330,   4.511,   5.120,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051336,   4.593,   5.097,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051342,   4.669,   5.238,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051348,   4.739,   5.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051354,   4.802,   5.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051400,   4.859,   5.359,   0.300,   0.200,   5.359,   0.200,   5.259,   0.300,   5.359
202603051406,   4.908,   5.477,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051412,   4.951,   5.438,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051418,   4.986,   5.497,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051424,   5.014,   5.487,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051430,   5.034,   5.507,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051436,   5.047,   5.530,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051442,   5.052,   5.516,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051448,   5.050,   5.497,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051454,   5.040,   5.487,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051500,   5.022,   5.428,   0.300,   0.106,   5.428,   0.200,   5.328,   0.300,   5.428
202603051506,   4.997,   5.389,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051512,   4.965,   5.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051518,   4.925,   5.320,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051524,   4.878,   5.238,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051530,   4.824,   5.159,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051536,   4.764,   5.120,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051542,   4.697,   5.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051548,   4.623,   4.979,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051554,   4.544,   4.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051600,   4.459,   4.739,   0.200,   0.080,   4.739,   0.200,   4.739,   0.300,   4.839
202603051606,   4.369,   4.647,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051612,   4.274,   4.569,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051618,   4.174,   4.539,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051624,   4.069,   4.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051630,   3.961,   4.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051636,   3.848,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051642,   3.732,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051648,   3.613,   3.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051654,   3.491,   3.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603051700,   3.366,   3.768,   0.200,   0.202,   3.768,   0.200,   3.768,   0.200,   3.768
202603051706,   3.239,   3.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
